date,category,id
1470059818255,entry,3757
1470059818256,entry,2238
1470059819502,poi,father
1470059821078,poi,mother
1470059822285,poi,son1
1470059822757,poi,son1
1470059823253,poi,son2
1470059823670,poi,son2
1470060201002,entry,204
1470060202453,poi,father
1470060208186,poi,mother
1470064837841,entry,529
1470064839786,poi,father
1470064842241,poi,son1
1470064843811,poi,daugther
1470064845899,poi,daugther
1470064846400,poi,son2
1470064847719,entry,4014
1470064848356,entry,2615
1470064848889,poi,son1
1470064850843,entry,3757
1470064851328,entry,3757
1470064851862,entry,1006
1470064852665,entry,529
1470064853366,entry,2238
1470064853984,entry,4036
1470064854739,entry,4021
1470064855303,poi,pepy_2
1470064857024,poi,pepy_2
1470064862536,entry,1107
1470064863204,entry,4031
1470064863708,entry,2615
1470064863955,entry,2615
1470064864843,entry,4011
1470064865626,entry,3574
1470064866277,entry,2238
1470064866862,poi,pepy_2
1470064871355,poi,father
1470064872708,poi,mother
1470064874394,poi,son1
1470064875615,poi,son2
1470064876667,poi,daugther
1470064955688,entry,4036
1470064957026,poi,father
1470064958679,poi,son1
1470064960066,poi,son2
1470064961087,poi,daugther
1470065151491,poi,father
1470065154683,poi,mother
1470065156152,poi,son1
1470065157490,poi,son2
1470065159879,entry,2008
1470065160429,entry,4014
1470065161298,entry,4013
1470065162015,poi,pepy_2
1470065168730,poi,daugther
1470065171152,poi,son2
1470065173174,entry,2615
1470065174225,poi,daugther
1470065175646,entry,4037
1470065202432,poi,mother
1470065204108,poi,son1
1470065205312,poi,son2
1470065206847,poi,daugther
1470065210873,poi,mother
1470065212527,entry,4037
1470065213463,entry,2615
1470065214213,entry,4034
1470065214882,entry,4014
1470065215684,entry,4025
1470065216419,entry,4025
1470065217021,entry,211
1470065217659,entry,4013
1470065218309,entry,2615
1470065219676,entry,4026
1470065317150,entry,529
1470065317151,entry,529
1470065317481,entry,529
1470065318399,entry,4021
1470065319267,entry,2008
1470065320738,entry,4022
1470065321945,poi,father
1470065323626,poi,mother
1470065325063,poi,son1
1470065326350,poi,son2
1470065327036,poi,son2
1470065327652,poi,daugther
1470065348465,poi,father
1470065349920,poi,mother
1470065351337,poi,son1
1470065353058,poi,son2
1470065354061,poi,daugther
1470065355430,entry,4011
1470065356099,entry,1107
1470065356854,entry,4013
1470212535261,entry,4013
1470212546288,entry,4013
1470212550244,entry,4013
1470212558996,entry,4007
1470212559749,entry,4007
1470212570346,poi,pepy_1
1470212585818,entry,4022
1470212596166,entry,2008
1470212602956,entry,4025
1470212607683,entry,3574
1470212617704,poi,daugther
1470212627410,entry,1107
1470212636280,entry,3473
1470212636961,entry,3473
1470212641219,entry,4028
1470212650665,entry,4007
1470217791613,poi,father
1470217797775,poi,mother
1470217800110,poi,father
1470217805709,poi,mother
1470217807447,poi,son1
1470217811854,poi,son2
1470217815450,poi,daugther
1470217821060,entry,4013
1470217821275,entry,4013
1470217821892,entry,4013
1470217822748,entry,4013
1470217823498,entry,4013
1470217824915,poi,father
1470217842133,poi,son1
1470217852825,poi,daugther
1470217869160,entry,4007
1470217870997,poi,father
1470217891231,poi,mother
1470217901320,poi,son1
1470217908685,poi,son2
1470217912594,poi,son2
1470217924770,poi,daugther
1470217934342,entry,4036
1470217948991,entry,4013
1470217951178,poi,father
1470217952750,poi,father
1470217954803,poi,mother
1470217955489,poi,mother
1470217959234,entry,3757
1470217972893,entry,1107
1470217974898,entry,1107
1470217975937,entry,4013
1470217976925,entry,4013
1470217978773,entry,4011
1470217981578,entry,1107
1470217983818,entry,4011
1470217985389,entry,4013
1470217987375,entry,2615
1470217989531,entry,4027
1470217992554,entry,4034
1470217992754,entry,4034
1470217995626,poi,min_1
1470218004096,entry,4027
1470218006835,poi,min_1
1470218020277,entry,2008
1470218024021,entry,4014
1470218026692,entry,204
1470218032658,entry,4015
1470218035126,entry,211
1470218038633,entry,3665
1470218041189,entry,4016
1470218045933,entry,4017
1470218049490,entry,4018
1470218052566,entry,4021
1470218052814,entry,4021
1470218054818,entry,4020
1470218059446,entry,894
1470218064322,poi,pepy_1
1470218086437,entry,3574
1470218087889,entry,2238
1470218089009,entry,4022
1470218091715,entry,3474
1470218094824,entry,3757
1470218102639,entry,4031
1470218105512,entry,2615
1470218106814,entry,4013
1470218113412,poi,son1
1470218117721,poi,father
1470218119727,poi,mother
1470218121112,poi,son1
1470218122348,poi,son2
1470218123602,poi,daugther
1470218126211,entry,4013
1470218131618,entry,959
1470218132120,entry,959
1470218132606,entry,959
1470218135681,entry,4007
1470218136212,entry,175
1470218138284,entry,4007
1470218144747,entry,4017
1470218146721,entry,4029
1470218147204,entry,4007
1470218253626,poi,daugther
1470224991911,entry,2615
1470224992351,entry,2615
1470224996526,entry,3757
1470225000468,entry,4028
1470225003694,entry,3473
1470225005077,entry,3473
1470225005998,entry,3473
1470225008568,entry,3473
1470225010725,entry,3473
1470225011492,entry,4021
1470225014732,entry,4020
1470225017436,entry,894
1470225019579,poi,meryre
1470225024971,entry,4007
1470225028428,entry,944
1470225033089,entry,4034
1470225034909,poi,min_2
1470225038600,entry,1006
1470225041422,entry,529
1470225044546,entry,2238
1470225049090,entry,4036
1470225051797,entry,438
1470225053132,entry,944
1470225056941,entry,4013
1470225058930,entry,2615
1470225060916,entry,482
1470225062653,entry,944
1470225064457,entry,175
1470225065893,entry,3480
1470225068505,entry,959
1470225072479,entry,2008
1470225074562,entry,4014
1470225076717,entry,4013
1470225079674,entry,4006
1470225082146,entry,4019
1470225083951,entry,2238
1470225086874,entry,1579
1470225089596,entry,944
1470225091768,entry,558
1470225096110,entry,4007
1470225099049,entry,175
1470225102473,entry,944
1470225104579,entry,4013
1470225107536,entry,2615
1470225111280,entry,4031
1470225113516,entry,4013
1470225115289,entry,2615
1470225116705,poi,father
1470225117624,entry,204
1470225120284,entry,4030
1470225122518,entry,211
1470225125041,entry,2172
1470225127178,entry,4040
1470225129918,entry,4040
1470225130536,entry,4040
1470225131036,entry,4025
1470225132172,entry,211
1470225132590,entry,4037
1470225132826,entry,4037
1470225133045,entry,4037
1470225133245,entry,4034
1470225133432,entry,4014
1470225134686,poi,father
1470228624452,entry,2172
1470228627223,entry,204
1470228628828,entry,4013
1470228634708,entry,4031
1470228637097,entry,2615
1470228639033,entry,204
1470228641774,entry,1107
1470228644261,poi,father
1470228652129,poi,son1
1470228655387,poi,mother
1470228661198,entry,2008
1470228666778,entry,3757
1470228672190,entry,4028
1470229468853,poi,father
1470232696544,entry,4022
1470232713191,entry,4007
1470232724321,poi,son2
1470232751712,poi,daugther
1470232763428,poi,mother
1470232788854,poi,father
1470234225120,poi,mother
1470234228127,poi,father
1470234236183,poi,mother
1470234242098,poi,son1
1470234246360,poi,son2
1470234251133,poi,son2
1470234254540,poi,daugther
1470234257871,entry,4007
1470234261058,entry,4013
1470234262943,entry,4007
1470234271355,entry,529
1470234275528,entry,4036
1470234714487,entry,2008
1470234714855,entry,4037
1470234715691,entry,2008
1470234720202,entry,2008
1470234720650,entry,4037
1470234723607,entry,2008
1470234728534,poi,mother
1470234737171,poi,son1
1470234741674,poi,son2
1470234748020,entry,4022
1470234751430,entry,4022
1470234752396,entry,3474
1470234757172,entry,3574
1470234762485,entry,4036
1470234769322,entry,4021
1470234775917,entry,529
1470234783053,entry,204
1470234786462,entry,4031
1470234793823,poi,son2
1470234796279,entry,4026
1470234803160,entry,4025
1470234805632,entry,4037
1470234805866,entry,4030
1470234806988,entry,4026
1470234815584,entry,4030
1470234817889,entry,4013
1470234819893,entry,2615
1470234821798,poi,father
1470234825810,poi,father
1470234835134,entry,4013
1470234840021,entry,4037
1470234843314,entry,3473
1470234851352,entry,4014
1470234855711,entry,4020
1470234865455,poi,pepy_1
1470234873251,poi,father
1470234877782,poi,father
1470234882659,entry,204
1470235127184,poi,son2
1470235137604,poi,daugther
1470235140495,poi,son1
1470235141479,poi,father
1470235143283,poi,son2
1470235143808,poi,daugther
1470235276613,entry,4007
1470235276797,entry,4007
1470235283624,entry,4013
1470235284425,poi,son2
1470235287495,poi,father
1470235290821,poi,son1
1470235292807,poi,daugther
1470235332681,poi,daugther
1470235337522,entry,3574
1470235337978,entry,3574
1470235341402,entry,1107
1470235344674,poi,meryre
1470235351053,poi,pepy_2
1470235353273,poi,pepy_1
1470235355295,entry,4013
1470235355563,entry,4013
1470235359241,entry,2172
1470235362344,entry,4013
1470235367224,entry,4015
1470235370081,entry,2238
1470235397440,poi,father
1470235406465,entry,4022
1470235413809,poi,meryre
1470235419754,entry,4020
1470235420758,entry,4020
1470235427988,entry,3473
1470235429458,entry,3473
1470235433968,entry,438
1470235439431,entry,959
1470235444825,entry,175
1470235449169,entry,3480
1470235454364,entry,4007
1470235471602,entry,529
1470235472822,entry,2238
1470235475776,entry,529
1470235483196,entry,2238
1470235483630,entry,2008
1470235495102,entry,4019
1470235514061,entry,4006
1470235532823,entry,4013
1470235533392,entry,4013
1470235534026,entry,4013
1470235534542,entry,4013
1470235534747,entry,4013
1470235535328,entry,4014
1470235536031,entry,4014
1470235540957,poi,daugther
1470235551647,poi,daugther
1470235552165,poi,daugther
1470235552785,entry,1579
1470235560700,poi,daugther
1470235565476,poi,son2
1470235568233,poi,son1
1470235569819,poi,son1
1470235574079,poi,mother
1470235576401,poi,father
1470235584604,poi,father
1470235599684,poi,mother
1470235604528,entry,4029
1470235609977,entry,4022
1470235617327,entry,482
1470235621903,entry,2615
1470235626830,entry,4026
1470235627416,entry,3757
1470235630070,entry,4026
1470235631090,entry,3757
1470235635149,entry,4028
1470235637387,entry,3757
1470235640243,entry,1006
1470235642649,entry,529
1470235653455,entry,4026
1470235658837,poi,daugther
1470235667595,entry,4021
1470235671187,entry,4020
1470235674697,entry,2008
1470235676515,entry,3574
1470235678291,entry,4015
1470235678469,entry,4015
1470235679939,entry,1107
1470235682612,entry,4031
1470235688492,entry,4028
1470235692351,entry,3473
1470235694506,entry,3473
1470235695007,entry,4021
1470235697129,entry,4021
1470235700404,entry,4020
